year,state,wolf pop,cattle kills
2022,montana,na,na
2022,oregon,178,48
2022,washington,216,15
2022,wyoming,338,na
2021,montana,1144,67
2021,oregon,175,37
2021,washington,206,5
2021,wyoming,314,na
2020,montana,1171,62
2020,oregon,173,23
2020,washington,132,9
2020,wyoming,327,na
2019,montana,1153,69
2019,oregon,158,13
2019,washington,108,14
2019,wyoming,311,42
2018,montana,1147,64
2018,oregon,137,17
2018,washington,126,11
2018,wyoming,286,55
2017,montana,1107,49
2017,oregon,124,11
2017,washington,122,8
2017,wyoming,347,113
2016,montana,1119,52
2016,oregon,112,11
2016,washington,115,9
2016,wyoming,na,na
2015,montana,1184,41
2015,oregon,110,3
2015,washington,90,7
2015,wyoming,na,na
2014,montana,1127,35
2014,oregon,77,2
2014,washington,68,2
2014,wyoming,195,49
2013,montana,1204,50
2013,oregon,64,5
2013,washington,52,1
2013,wyoming,306,41
2012,montana,1199,67
2012,oregon,46,4
2012,washington,51,7
2012,wyoming,277,44
