Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2022,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"140,000",
SURVEY,2022,YEAR,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"56,000",
SURVEY,2022,YEAR,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"62,000",
SURVEY,2022,YEAR,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"40,000",
SURVEY,2022,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"21,000",
SURVEY,2022,YEAR,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"29,000",
SURVEY,2021,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"135,000",
SURVEY,2021,YEAR,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"61,000",
SURVEY,2021,YEAR,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"61,000",
SURVEY,2021,YEAR,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"40,000",
SURVEY,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"21,000",
SURVEY,2021,YEAR,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"28,000",
SURVEY,2020,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"130,000",
SURVEY,2020,YEAR,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"62,000",
SURVEY,2020,YEAR,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"60,000",
SURVEY,2020,YEAR,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"40,000",
SURVEY,2020,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"24,000",
SURVEY,2020,YEAR,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"31,000",
SURVEY,2019,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"130,000",
SURVEY,2019,YEAR,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"65,000",
SURVEY,2019,YEAR,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"70,000",
SURVEY,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"45,000",
SURVEY,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"27,000",
SURVEY,2019,YEAR,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"32,000",
SURVEY,2018,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"125,000",
SURVEY,2018,YEAR,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"55,000",
SURVEY,2018,YEAR,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, CALVES - LOSS, DEATH, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"70,000",
