Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2022,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,200,000",
SURVEY,2022,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,550,000",
SURVEY,2022,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,210,000",
SURVEY,2022,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,250,000",
SURVEY,2022,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,140,000",
SURVEY,2022,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,260,000",
SURVEY,2021,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,150,000",
SURVEY,2021,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2021,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,450,000",
SURVEY,2021,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,250,000",
SURVEY,2021,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,140,000",
SURVEY,2021,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,300,000",
SURVEY,2020,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,150,000",
SURVEY,2020,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,470,000",
SURVEY,2020,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2020,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,280,000",
SURVEY,2020,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,200,000",
SURVEY,2020,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,320,000",
SURVEY,2019,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,150,000",
SURVEY,2019,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2019,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,500,000",
SURVEY,2019,FIRST OF JAN,,STATE,OREGON,41,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,310,000",
SURVEY,2019,FIRST OF JAN,,STATE,WASHINGTON,53,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,180,000",
SURVEY,2019,FIRST OF JAN,,STATE,WYOMING,56,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,300,000",
SURVEY,2018,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"5,200,000",
SURVEY,2018,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"2,420,000",
